glyph_name,ps_name,USV,DesignerOrder,bcp47tags,Feat
.notdef,.notdef,,0,,
.null,.null,,1,,
nonmarkingreturn,nonmarkingreturn,,2,,
space,space,0020,4,,
tab,tab,,6,,
exclam,exclam,0021,7,,
quotedbl,quotedbl,0022,9,,
numbersign,numbersign,0023,10,,
dollar,dollar,0024,11,,
percent,percent,0025,12,,
ampersand,ampersand,0026,13,,
quotesingle,quotesingle,0027,14,,
parenleft,parenleft,0028,15,,
parenright,parenright,0029,17,,
asterisk,asterisk,002A,19,,
plus,plus,002B,21,,
comma,comma,002C,22,,
hyphentwo,uni2010,2010,23,,
hyphen,hyphen,002D,24,,
period,period,002E,25,,
period.test,period.test,,26,,
slash,slash,002F,27,,
zero,zero,0030,28,,
zero.medium,zero.medium,,29,,
zero.small,zero.small,,30,,
one,one,0031,31,,
one.medium,one.medium,,32,,
one.small,one.small,,33,,
two,two,0032,34,,
two.medium,two.medium,,35,,
two.small,two.small,,36,,
three,three,0033,37,,
three.medium,three.medium,,38,,
three.small,three.small,,39,,
four,four,0034,40,,
four.medium,four.medium,,41,,
four.small,four.small,,42,,
five,five,0035,43,,
five.medium,five.medium,,44,,
five.small,five.small,,45,,
six,six,0036,46,,
six.medium,six.medium,,47,,
six.small,six.small,,48,,
seven,seven,0037,49,,
seven.medium,seven.medium,,50,,
seven.small,seven.small,,51,,
eight,eight,0038,52,,
eight.medium,eight.medium,,53,,
eight.small,eight.small,,54,,
nine,nine,0039,55,,
nine.medium,nine.medium,,56,,
nine.small,nine.small,,57,,
colon,colon,003A,58,,
semicolon,semicolon,003B,60,,
less,less,003C,61,,
equal,equal,003D,62,,
greater,greater,003E,63,,
question,question,003F,64,,
at,at,0040,65,,
A,A,0041,66,,
B,B,0042,67,,
C,C,0043,68,,
D,D,0044,69,,
E,E,0045,70,,
F,F,0046,71,,
G,G,0047,72,,
H,H,0048,73,,
I,I,0049,74,,
J,J,004A,75,,
K,K,004B,76,,
L,L,004C,77,,
M,M,004D,78,,
N,N,004E,79,,
O,O,004F,80,,
P,P,0050,81,,
Q,Q,0051,82,,
R,R,0052,83,,
S,S,0053,84,,
T,T,0054,85,,
U,U,0055,86,,
V,V,0056,87,,
W,W,0057,88,,
X,X,0058,89,,
Y,Y,0059,90,,
Z,Z,005A,91,,
bracketleft,bracketleft,005B,92,,
bracketright,bracketright,005D,93,,
backslash,backslash,005C,94,,
underscore,underscore,005F,95,,
a,a,0061,96,,
b,b,0062,97,,
c,c,0063,98,,
d,d,0064,99,,
e,e,0065,100,,
f,f,0066,101,,
g,g,0067,102,,
h,h,0068,103,,
i,i,0069,104,,
j,j,006A,105,,
k,k,006B,106,,
l,l,006C,107,,
m,m,006D,108,,
n,n,006E,109,,
o,o,006F,110,,
p,p,0070,111,,
q,q,0071,112,,
r,r,0072,113,,
s,s,0073,114,,
t,t,0074,115,,
u,u,0075,116,,
v,v,0076,117,,
w,w,0077,118,,
x,x,0078,119,,
y,y,0079,120,,
z,z,007A,121,,
braceleft,braceleft,007B,122,,
braceright,braceright,007D,123,,
bar,bar,007C,124,,
asciitilde,asciitilde,007E,125,,
nbspace,uni00A0,00A0,126,,
exclamdown,exclamdown,00A1,128,,
cent,cent,00A2,129,,
sterling,sterling,00A3,130,,
currency,currency,00A4,131,,
yen,yen,00A5,132,,
brokenbar,brokenbar,00A6,133,,
section,section,00A7,134,,
copyright,copyright,00A9,135,,
registered,registered,00AE,136,,
ordfeminine,ordfeminine,00AA,137,,
guillemetleft,guillemotleft,00AB,138,,
logicalnot,logicalnot,00AC,139,,
softhyphen,uni00AD,00AD,140,,
degree,degree,00B0,141,,
plusminus,plusminus,00B1,142,,
asciicircum,asciicircum,005E,143,,
micro,uni00B5,00B5,144,,
paragraph,paragraph,00B6,145,,
periodcentered,periodcentered,00B7,146,,
ordmasculine,ordmasculine,00BA,147,,
guillemetright,guillemotright,00BB,148,,
onesuperior,onesuperior,00B9,149,,
twosuperior,twosuperior,00B2,150,,
threesuperior,threesuperior,00B3,151,,
foursuperior,uni2074,2074,151.1,,
onehalf,onehalf,00BD,152,,
onequarter,onequarter,00BC,153,,
threequarters,threequarters,00BE,154,,
questiondown,questiondown,00BF,155,,
Agrave,Agrave,00C0,156,,
Aacute,Aacute,00C1,157,,
Acircumflex,Acircumflex,00C2,158,,
Atilde,Atilde,00C3,159,,
Adieresis,Adieresis,00C4,160,,
Aring,Aring,00C5,161,,
AE,AE,00C6,162,,
Ccedilla,Ccedilla,00C7,163,,
Egrave,Egrave,00C8,164,,
Eacute,Eacute,00C9,165,,
Ecircumflex,Ecircumflex,00CA,166,,
Edieresis,Edieresis,00CB,167,,
Igrave,Igrave,00CC,168,,
Iacute,Iacute,00CD,169,,
Icircumflex,Icircumflex,00CE,170,,
Idieresis,Idieresis,00CF,171,,
Eth,Eth,00D0,172,,
Ntilde,Ntilde,00D1,173,,
Ograve,Ograve,00D2,174,,
Oacute,Oacute,00D3,175,,
Ocircumflex,Ocircumflex,00D4,176,,
Otilde,Otilde,00D5,177,,
Odieresis,Odieresis,00D6,178,,
multiply,multiply,00D7,179,,
Oslash,Oslash,00D8,180,,
Ugrave,Ugrave,00D9,181,,
Uacute,Uacute,00DA,182,,
Ucircumflex,Ucircumflex,00DB,183,,
Udieresis,Udieresis,00DC,184,,
Yacute,Yacute,00DD,185,,
Thorn,Thorn,00DE,186,,
germandbls,germandbls,00DF,187,,
agrave,agrave,00E0,188,,
aacute,aacute,00E1,189,,
acircumflex,acircumflex,00E2,190,,
atilde,atilde,00E3,191,,
adieresis,adieresis,00E4,192,,
aring,aring,00E5,193,,
ae,ae,00E6,194,,
ccedilla,ccedilla,00E7,195,,
egrave,egrave,00E8,196,,
eacute,eacute,00E9,197,,
ecircumflex,ecircumflex,00EA,198,,
edieresis,edieresis,00EB,199,,
igrave,igrave,00EC,200,,
iacute,iacute,00ED,201,,
icircumflex,icircumflex,00EE,202,,
idieresis,idieresis,00EF,203,,
eth,eth,00F0,204,,
ntilde,ntilde,00F1,205,,
ograve,ograve,00F2,206,,
oacute,oacute,00F3,207,,
ocircumflex,ocircumflex,00F4,208,,
otilde,otilde,00F5,209,,
odieresis,odieresis,00F6,210,,
divide,divide,00F7,211,,
oslash,oslash,00F8,212,,
ugrave,ugrave,00F9,213,,
uacute,uacute,00FA,214,,
ucircumflex,ucircumflex,00FB,215,,
udieresis,udieresis,00FC,216,,
yacute,yacute,00FD,217,,
thorn,thorn,00FE,218,,
ydieresis,ydieresis,00FF,219,,
idotless,dotlessi,0131,220,,
OE,OE,0152,221,,
oe,oe,0153,222,,
Scaron,Scaron,0160,223,,
scaron,scaron,0161,224,,
Ydieresis,Ydieresis,0178,225,,
Zcaron,Zcaron,017D,226,,
zcaron,zcaron,017E,227,,
florin,florin,0192,228,,
colontriangularmod,uni02D0,02D0,229,,
grave,grave,0060,230,,
macron,macron,00AF,231,,
dieresis,dieresis,00A8,232,,
acute,acute,00B4,233,,
cedilla,cedilla,00B8,234,,
circumflex,circumflex,02C6,235,,
caron,caron,02C7,236,,
firsttonechinese,uni02C9,02C9,237,,
breve,breve,02D8,238,,
dotaccent,dotaccent,02D9,239,,
ring,ring,02DA,240,,
ogonek,ogonek,02DB,241,,
tilde,tilde,02DC,242,,
hungarumlaut,hungarumlaut,02DD,243,,
